id,user_id,badge_id,earned_at
011eabda-0a00-4a00-8000-111111111111,ab6028c7-a72a-4464-9e87-ec01f7c17317,3efba2b8-3c95-466e-b787-9e89a33b544a,2025-07-18T05:10:00Z
011eabda-0a00-4a00-8000-222222222222,d09d001d-6e9d-4597-bc3b-f5991f7aefad,0ff9d85e-c823-4ca6-b825-11d4f5b94d3a,2025-07-18T05:11:00Z
011eabda-0a00-4a00-8000-333333333333,459cfafb-854c-4585-9590-fa8a346ee8d5,1a2c748c-6d83-4534-9101-306e038e5b0b,2025-07-18T05:12:00Z
011eabda-0a00-4a00-8000-444444444444,ecfe400a-eb11-4ea9-aa8b-491408162925,b0d6a4cc-b537-4e13-a1fa-1b49cfc3036b,2025-07-18T05:13:00Z
011eabda-0a00-4a00-8000-555555555555,cbef089c-9e81-4540-a734-95cdbc2d7eb6,9bbf0d3f-02dc-4b6e-9e4b-6d09ff1ccfc0,2025-07-18T05:14:00Z
011eabda-0a00-4a00-8000-666666666666,f5570ab7-9d85-4e61-9f99-d2f2480cf539,49fc75f3-343b-4cb3-963e-2090e9388be0,2025-07-18T05:15:00Z
011eabda-0a00-4a00-8000-777777777777,71146e1e-c09b-428d-90d6-1ba3515fa87b,2cfac13f-2b88-4c9f-9f79-b621c9288cdd,2025-07-18T05:16:00Z
011eabda-0a00-4a00-8000-888888888888,ce200c9b-29a2-423a-9c96-ad75532406f8,cc1817b7-b499-41f4-bd63-9d3a10b7290f,2025-07-18T05:17:00Z
011eabda-0a00-4a00-8000-999999999999,b6953cd2-47d9-4cac-9e53-557b6593e87c,ea5029d7-a2f7-40e3-b3d5-57d5f9d31571,2025-07-18T05:18:00Z
011eabda-0a00-4a00-8000-aaaaaaaabbbb,5d5b9468-462b-417d-8dcb-eb1994d0e6f7,190eabdc-2c31-48e5-a685-80870ae66212,2025-07-18T05:19:00Z
