product_id,tag_id
bddf5b71-7e21-44cc-b798-b12a66746b07,201d624b-4229-4b19-9b9e-6e9ffecf2e3d
c4d4dd8b-b947-470b-a5e5-517dbdbf371d,cf25d2ad-4ea3-4fe2-943d-5e3b91ed7716
5d5095a6-070b-40d9-a79c-3e0ec0dba8a9,f8de3a1b-b3fd-4c5e-8e8e-ec8dc0349d4f
f3ea6b41-6d5e-4fa4-b6f0-dbb741c76e4f,b0e2a609-a02c-402b-9f6d-b1de7ed6c64d
fa0e2d68-401e-4f2d-a36f-e205e2ce8b5d,4f5462ad-28e0-491d-8ee4-2620b230bc7c
acfb86c1-b36b-494a-b798-fbf3b159b265,dc9edb6c-3e7e-4e6b-a0a9-b15cb9a2d6d4
1f5e8916-5311-4e0b-a4c6-4e791bd66e61,e02c9e17-40ef-4391-91b8-8ac8b08cd191
a3a38a7f-2bb9-4045-bdb0-04e745b48838,756fb9f5-c7d1-40e6-b42c-0b8b45f71f78
2f2b9174-b1fc-4092-98a9-e3e5fd100ea3,a1d34da9-e6cb-4ab2-879a-9c775cfa0d35
631e97b2-1e5e-4b66-8473-8f09e1c2c4c1,cf25d2ad-4ea3-4fe2-943d-5e3b91ed7716
