id,user_id,product_id,created_at
5e7a91d3-caff-4560-840f-bec6efc24c11,ab6028c7-a72a-4464-9e87-ec01f7c17317,uuid-prod-1,2025-07-18T05:20:00Z
6fa60214-1c25-43ad-84a5-5a95d1b8a134,d09d001d-6e9d-4597-bc3b-f5991f7aefad,uuid-prod-2,2025-07-18T05:21:00Z
350c356c-356d-4035-884b-29c4ce22860f,459cfafb-854c-4585-9590-fa8a346ee8d5,uuid-prod-3,2025-07-18T05:22:00Z
3ae9722e-6d38-4bb8-bec4-2b1b1e0118a0,ecfe400a-eb11-4ea9-aa8b-491408162925,uuid-prod-4,2025-07-18T05:23:00Z
759f85f3-294e-4021-b7b7-990bbf8a641e,cbef089c-9e81-4540-a734-95cdbc2d7eb6,uuid-prod-5,2025-07-18T05:24:00Z
d295cb24-8f8e-4e10-b08f-6072b8eb11e5,f5570ab7-9d85-4e61-9f99-d2f2480cf539,uuid-prod-6,2025-07-18T05:25:00Z
72d99f3c-9614-4290-80ce-cd73efec6852,71146e1e-c09b-428d-90d6-1ba3515fa87b,uuid-prod-7,2025-07-18T05:26:00Z
d5e36043-0f08-481e-a6e1-4bb5fc54b65c,ce200c9b-29a2-423a-9c96-ad75532406f8,uuid-prod-8,2025-07-18T05:27:00Z
08701f9d-f1cb-41c7-baba-7687295c5f7b,b6953cd2-47d9-4cac-9e53-557b6593e87c,uuid-prod-9,2025-07-18T05:28:00Z
2cc9cb2a-a7be-4f7c-a383-14b1d419b6a3,5d5b9468-462b-417d-8dcb-eb1994d0e6f7,uuid-prod-10,2025-07-18T05:29:00Z
